Title,Budget,Cost,Date,Ex/In,Special,Type Expenses,Type In come
cầu lông,-70000,"₫70,000",15/10/2022,Expenses,,Badmintion,
xăng,-50000,"₫50,000",15/10/2022,Expenses,,DC,
vinmart,-72000,"₫72,000",14/10/2022,Expenses,,AC,
coffee sáng tạo 1,-65000,"₫65,000",14/10/2022,Expenses,,Coffee,
gửi xe,-2000,"₫2,000",14/10/2022,Expenses,,Study,
cơm nấm bao lân,-14000,"₫14,000",14/10/2022,Expenses,,RL,
cơm nấm,-14000,"₫14,000",14/10/2022,Expenses,,AC,
sữa tươi,-100000,"₫100,000",14/10/2022,Expenses,,AC,
nộp học phí Sư phạm,-171870,"₫171,870",13/10/2022,Expenses,BigM,Study,
gửi xe đh sư phạm,-2000,"₫2,000",13/10/2022,Expenses,,Study,
hình thẻ 6x4,-32000,"₫32,000",13/10/2022,Expenses,,Study,
hủ tiếu iuh,-20000,"₫20,000",13/10/2022,Expenses,,AC,
gửi xe iuh,-3000,"₫3,000",13/10/2022,Expenses,,Study,
bánh mì,-15000,"₫15,000",13/10/2022,Expenses,,AC,
xăng,-40000,"₫40,000",13/10/2022,Expenses,,DC,
ăn khuya,-28000,"₫28,000",13/10/2022,Expenses,,AC,
chuối,-18000,"₫18,000",13/10/2022,Expenses,,AV,
trứng gà,-29000,"₫29,000",13/10/2022,Expenses,,AC,
ăn trưa circle K,-21000,"₫21,000",13/10/2022,Expenses,,AC,
thịt xoay,-37000,"₫37,000",13/10/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",13/10/2022,Expenses,,Utility,
cầu lông,-40000,"₫40,000",13/10/2022,Expenses,,Badmintion,
khổ trang,-29000,"₫29,000",13/10/2022,Expenses,,Utility,
cafe,-6000,"₫6,000",12/10/2022,Expenses,,AV,
bánh mì dưới nhà,-15000,"₫15,000",12/10/2022,Expenses,,AC,
tiền chợ,-100000,"₫100,000",12/10/2022,Expenses,,AC,
tai nghe redmi bugs 3 lite,-360000,"₫360,000",12/10/2022,Expenses,BigM,Entertainment,
nước mía,-6000,"₫6,000",11/10/2022,Expenses,,AV,
bánh mì ăn sáng,-12000,"₫12,000",11/10/2022,Expenses,,AC,
cài tóc,-15000,"₫15,000",11/10/2022,Expenses,,CL,
sổ màu vàng,-80000,"₫80,000",11/10/2022,Expenses,,Mental,
xăng,-65000,"₫65,000",10/10/2022,Expenses,,DC,
card đt,-10000,"₫10,000",10/10/2022,Expenses,,Utility,
tiền chợ,-50000,"₫50,000",10/10/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",10/10/2022,Expenses,,Utility,
cơm sườn chị mai,-20000,"₫20,000",10/10/2022,Expenses,,AC,
bánh mì vs kiên,-7000,"₫7,000",10/10/2022,Expenses,,AV,
xăng,-50000,"₫50,000",09/10/2022,Expenses,,DC,
dán laptop,-130000,"₫130,000",09/10/2022,Expenses,,Utility,
hớt tóc,-35000,"₫35,000",09/10/2022,Expenses,,Body,
đan vợt,-140000,"₫140,000",09/10/2022,Expenses,BigM,Badmintion,
nguyện vọng trường sư phạm,-30330,"₫30,330",09/10/2022,Expenses,,Accident,
cafe cho mẹ,-17000,"₫17,000",09/10/2022,Expenses,,Utility,
cơm chiên ăn sáng,-29000,"₫29,000",08/10/2022,Expenses,,AC,
quấn cán,-20000,"₫20,000",08/10/2022,Expenses,,Badmintion,
xăng về quê,-69000,"₫69,000",08/10/2022,Expenses,,DC,
phí rút tiền,-1100,"₫1,100",07/10/2022,Expenses,,Utility,
cơm gà xối mở,-25000,"₫25,000",07/10/2022,Expenses,,AC,
tiền chợ,-20000,"₫20,000",07/10/2022,Expenses,,AC,
bún đậu mắn tôm,-33000,"₫33,000",07/10/2022,Expenses,,AC,
hủ tiếu IUH,-20000,"₫20,000",06/10/2022,Expenses,,AC,
hùng mua nước,-3000,"₫3,000",06/10/2022,Expenses,,AV,
xăng,-45000,"₫45,000",06/10/2022,Expenses,,DC,
gà vs nhóm ngân,-50000,"₫50,000",06/10/2022,Expenses,,AC,
photo giấy xác nhận,-2000,"₫2,000",06/10/2022,Expenses,,Study,
tiền chợ,-50000,"₫50,000",05/10/2022,Expenses,,AC,
chai vitamin C,-15000,"₫15,000",04/10/2022,Expenses,,RL,
vớ dài,-28000,"₫28,000",04/10/2022,Expenses,,CL,
hột vịt lộn 8/trứng (sáng,-17000,"₫17,000",04/10/2022,Expenses,,AV,
cơm nấm ministop,-14000,"₫14,000",04/10/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",04/10/2022,Expenses,,Utility,
kệ gỗ decol bàn,-40000,"₫40,000",04/10/2022,Expenses,,Entertainment,
xăng,-40000,"₫40,000",04/10/2022,Expenses,,DC,
hủ tiếu đầu ngõ,-20000,"₫20,000",03/10/2022,Expenses,,AC,
bún đậu mấn tôm,-40000,"₫40,000",03/10/2022,Expenses,,AC,
giữ xe BK,-3000,"₫3,000",02/10/2022,Expenses,,Study,
card đt,-10000,"₫10,000",02/10/2022,Expenses,,Utility,
tiền nhà,-1500000,"₫1,500,000",02/10/2022,Expenses,Monthly,Home,
cafe quán slowe,-30000,"₫30,000",02/10/2022,Expenses,,Coffee,
cafe dĩ an,-25000,"₫25,000",02/10/2022,Expenses,,RL,
phí rút tiền,-1100,"₫1,100",02/10/2022,Expenses,,Utility,
cơm trưa Dĩ An,-25000,"₫25,000",02/10/2022,Expenses,,AC,
2 ngàn mất ngu,-2000,"₫2,000",01/10/2022,Expenses,,Entertainment,
khóa học Cybersoft,-17700000,"₫17,700,000",01/10/2022,Expenses,BigY,Study,
cơm nấm,-15000,"₫15,000",30/09/2022,Expenses,,AC,
hủ tiếu gần trường IUH,-20000,"₫20,000",30/09/2022,Expenses,,AC,
xăng,-30000,"₫30,000",30/09/2022,Expenses,,DC,
cơm trưa,-30000,"₫30,000",30/09/2022,Expenses,,AC,
cơm gà xối mỡ,-25000,"₫25,000",29/09/2022,Expenses,,AC,
nước suối,-10000,"₫10,000",28/09/2022,Expenses,,Utility,
sữa tươi,-36500,"₫36,500",28/09/2022,Expenses,,AC,
bàn phím,-900000,"₫900,000",28/09/2022,Expenses,BigM,Entertainment,
cà chua,-19100,"₫19,100",28/09/2022,Expenses,,AC,
gạo,-10000,"₫10,000",28/09/2022,Expenses,,AC,
trứng,-29500,"₫29,500",28/09/2022,Expenses,,AC,
rau mồng tơi,-15900,"₫15,900",28/09/2022,Expenses,,AC,
nảy chuối cau,-20000,"₫20,000",28/09/2022,Expenses,,AC,
nước lọc,-20000,"₫20,000",28/09/2022,Expenses,,Utility,
hủ tiếu gần trường,-20000,"₫20,000",27/09/2022,Expenses,,AC,
bột chiên gà,-8000,"₫8,000",27/09/2022,Expenses,,AC,
xăng,-50000,"₫50,000",26/09/2022,Expenses,,DC,
mua đồ ăn siêu thị,-66000,"₫66,000",26/09/2022,Expenses,,AC,
ăn cơm làng đại học,-27000,"₫27,000",26/09/2022,Expenses,,AC,
cơm sườn,-20000,"₫20,000",25/09/2022,Expenses,,AC,
ăn trưa (còn say xe),-46000,"₫46,000",25/09/2022,Expenses,,AC,
taxi,-250000,"₫250,000",25/09/2022,Expenses,,Ngu,
vé xe đi sg,-130000,"₫130,000",25/09/2022,Expenses,,DC,
bún đậu mắn tôm,-43000,"₫43,000",24/09/2022,Expenses,,AV,
nước suối,-5000,"₫5,000",24/09/2022,Expenses,,Utility,
nước ép thơm,-20000,"₫20,000",24/09/2022,Expenses,,AV,
đổi sim viettel,-25000,"₫25,000",24/09/2022,Expenses,,Utility,
xăng tayga,-30000,"₫30,000",24/09/2022,Expenses,,DC,
gói iCloud+ 50GB,-19000,"₫19,000",23/09/2022,Expenses,Monthly,Utility,
nước suối,-7000,"₫7,000",22/09/2022,Expenses,,Utility,
xăng xe tay ga,-50000,"₫50,000",22/09/2022,Expenses,,DC,
tiền sân cầu lông,-5000,"₫5,000",22/09/2022,Expenses,,Badmintion,
cầu lông,-18000,"₫18,000",22/09/2022,Expenses,,Badmintion,
cafe dọc đường,-10000,"₫10,000",22/09/2022,Expenses,,Coffee,
nước cam,-20000,"₫20,000",22/09/2022,Expenses,,RL,
xăng luân (nợ),-30000,"₫30,000",22/09/2022,Expenses,,DC,
xăng về nhà (xe luân),-20000,"₫20,000",22/09/2022,Expenses,,DC,
phú rút tiền,-1100,"₫1,100",22/09/2022,Expenses,,Utility,
cơm năm minishop,-13000,"₫13,000",22/09/2022,Expenses,,AC,
đi cafe với phương,-25000,"₫25,000",21/09/2022,Expenses,,RL,
xăng về nhà với kiên,-22500,"₫22,500",21/09/2022,Expenses,,DC,
sữa tươi,-8000,"₫8,000",21/09/2022,Expenses,,AV,
Xăng,-50000,"₫50,000",21/09/2022,Expenses,,DC,
giáo trình,-30000,"₫30,000",21/09/2022,Expenses,,Study,
cà phê,-9000,"₫9,000",20/09/2022,Expenses,,AV,
sữa tươi,-7000,"₫7,000",19/09/2022,Expenses,,AV,
tiền chợ,-200000,"₫200,000",19/09/2022,Expenses,,AC,
xăng,-50000,"₫50,000",17/09/2022,Expenses,,DC,
nước suối,-7000,"₫7,000",17/09/2022,Expenses,,AC,
tiền chợ,-30000,"₫30,000",17/09/2022,Expenses,,AC,
ăn sáng bánh mì,-25000,"₫25,000",16/09/2022,Expenses,,AC,
chụp ảnh 3*4,-45000,"₫45,000",16/09/2022,Expenses,,Utility,
4g,-59000,"₫59,000",16/09/2022,Expenses,,Utility,
hủ tiếu đầu ngỏ,-20000,"₫20,000",16/09/2022,Expenses,,AC,
giữ xe bitexco,-6000,"₫6,000",16/09/2022,Expenses,,Accident,
trà chanh dây Highlands,-39000,"₫39,000",15/09/2022,Expenses,,RL,
ăn sáng xoi gất,-15000,"₫15,000",15/09/2022,Expenses,,AC,
đặt 2 đơn shopee đồ lặt vặt,-52000,"₫52,000",15/09/2022,Expenses,,AC,
xăng,-50000,"₫50,000",15/09/2022,Expenses,,DC,
tiền chợ,-50000,"₫50,000",15/09/2022,Expenses,,AC,
cờ lê số 13,-25000,"₫25,000",15/09/2022,Expenses,,Accident,
Tiền chợ thêm,-20000,"₫20,000",14/09/2022,Expenses,,AC,
cơm + nước suối minishop,-20000,"₫20,000",14/09/2022,Expenses,,AV,
cafe with Văn,-20000,"₫20,000",14/09/2022,Expenses,,RL,
xoài,-6000,"₫6,000",14/09/2022,Expenses,,AV,
sữa bịt TH minishop,-10000,"₫10,000",14/09/2022,Expenses,,AV,
card đt 10k,-2000,"₫2,000",14/09/2022,Expenses,,Utility,
tiền nhà,-1400000,"₫1,400,000",13/09/2022,Expenses,Monthly,Home,
cafe the coffe house,-29000,"₫29,000",13/09/2022,Expenses,,AV,
xăng (xe kiên),-40000,"₫40,000",13/09/2022,Expenses,,DC,
trà teaplus,-5000,"₫5,000",13/09/2022,Expenses,,AV,
Kệ để chén dĩa,-15000,"₫15,000",12/09/2022,Expenses,,Home,
Tiền chợ,-150000,"₫150,000",12/09/2022,Expenses,,AC,
đồ dùng thiết yếu trong nhà,-185750,"₫185,750",11/09/2022,Expenses,BigM,Utility,
gửi đồ,-80000,"₫80,000",11/09/2022,Expenses,,Utility,
bánh mì,-6000,"₫6,000",11/09/2022,Expenses,,AC,
trà MayCha Tân Phú,-15000,"₫15,000",11/09/2022,Expenses,,RL,
cơm nấm,-15000,"₫15,000",11/09/2022,Expenses,,AC,
cơm sườn,-28000,"₫28,000",11/09/2022,Expenses,,AC,
card điện thoại,-10000,"₫10,000",11/09/2022,Expenses,,Utility,
cafe gần chợ,-10000,"₫10,000",11/09/2022,Expenses,,AV,
Aquarius (Circle K),-10000,"₫10,000",11/09/2022,Expenses,,AV,
cơm trưa,-30000,"₫30,000",10/09/2022,Expenses,,AC,
Mua đồ ăn big C,-247000,"₫247,000",03/11/2022,Expenses,,AC,
gửi xe cầu lông,-5000,"₫5,000",03/11/2022,Expenses,,Badmintion,
gửi xe LTRieng,-3000,"₫3,000",05/11/2022,Expenses,,AC,
nước suối,-9000,"₫9,000",05/11/2022,Expenses,,Utility,
Trứng,-30000,"₫30,000",05/11/2022,Expenses,,AC,
hủ tiếu,-20000,"₫20,000",05/11/2022,Expenses,,AC,
gửi xe cyber,-5000,"₫5,000",06/11/2022,Expenses,,Study,
bột chiên gà,-6000,"₫6,000",07/11/2022,Expenses,,AC,
sữa chua propy,-21000,"₫21,000",07/11/2022,Expenses,,AC,
dưa leo,-14000,"₫14,000",07/11/2022,Expenses,,AC,
20 trứng vịt của kiên,-60000,"₫60,000",08/11/2022,Expenses,,AC,
thịt heo,-41000,"₫41,000",08/11/2022,Expenses,,AC,
cà chua,-15000,"₫15,000",09/11/2022,Expenses,,AC,
dưa hấu,-4000,"₫4,000",09/11/2022,Expenses,,AC,
gửi xe big C,-5000,"₫5,000",09/11/2022,Expenses,,AC,
bánh mì chia vs sang,-11000,"₫11,000",09/11/2022,Expenses,,AC,
thịt vai heo,-31000,"₫31,000",09/11/2022,Expenses,,AC,
dưa leo,-10000,"₫10,000",09/11/2022,Expenses,,AC,
gửi xe cầu lông,-6000,"₫6,000",10/11/2022,Expenses,,Badmintion,
gửi xe xem trọ,-4000,"₫4,000",11/11/2022,Expenses,,Home,
hủ tiếu,-20000,"₫20,000",11/11/2022,Expenses,,AC,
tiền chợ,-70000,"₫70,000",11/11/2022,Expenses,,AC,
cafe đá test quán M coffee,-26000,"₫26,000",11/11/2022,Expenses,,Coffee,
nước suối chạy bộ,-6000,"₫6,000",11/11/2022,Expenses,,AC,
tiền cọc trọ quận 7,-400000,"₫400,000",11/11/2022,Expenses,Monthly,Home,
xăng,-68000,"₫68,000",11/11/2022,Expenses,,DC,
lipton chanh gần nhà vs chị Hương,-19000,"₫19,000",12/11/2022,Expenses,,RL,
tiền cọc trọ quận 7,-800000,"₫800,000",12/11/2022,Expenses,Monthly,Home,
tiền nước,-5000,"₫5,000",12/11/2022,Expenses,,AC,
tiền đền xe vision,-21000,"₫21,000",12/11/2022,Expenses,,Accident,
phê đen thecoffee house,-29000,"₫29,000",13/11/2022,Expenses,,Coffee,
gửi xe cyber,-5000,"₫5,000",13/11/2022,Expenses,,Study,
sữa chua,-21000,"₫21,000",14/11/2022,Expenses,,AC,
thịt gà,-36000,"₫36,000",14/11/2022,Expenses,,AC,
cà chua,-15000,"₫15,000",14/11/2022,Expenses,,AC,
đậu đũa,-8000,"₫8,000",14/11/2022,Expenses,,AC,
tiền kem đánh răng,-15000,"₫15,000",14/11/2022,Expenses,,AC,
bánh mì ăn sáng,-21000,"₫21,000",14/11/2022,Expenses,,AC,
xà lách,-15000,"₫15,000",14/11/2022,Expenses,,AC,
cơm sườn,-30000,"₫30,000",15/11/2022,Expenses,,AC,
dưa hấu chia nữa trái với luân,-15000,"₫15,000",15/11/2022,Expenses,,AC,
sữa tươi,-30000,"₫30,000",15/11/2022,Expenses,,AC,
gửi xe hội chợ sách,-3000,"₫3,000",15/11/2022,Expenses,,RL,
xăng,-50000,"₫50,000",16/11/2022,Expenses,,DC,
phí rút tiền,-1100,"₫1,100",16/11/2022,Expenses,,Utility,
gửi xe đi chơi đám hà,-10000,"₫10,000",16/11/2022,Expenses,,RL,
cafe vs đám hà,-34000,"₫34,000",16/11/2022,Expenses,,RL,
tiền quà của thảo,-15000,"₫15,000",16/11/2022,Expenses,,RL,
Nước,-5000,"₫5,000",16/11/2022,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",17/11/2022,Expenses,,AC,
cafe the coffee house,-29000,"₫29,000",17/11/2022,Expenses,,Coffee,
cà chua,-13000,"₫13,000",17/11/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",17/11/2022,Expenses,,Utility,
the coffee house,-29000,"₫29,000",18/11/2022,Expenses,,Coffee,
thùng nước,-5000,"₫5,000",18/11/2022,Expenses,,AC,
miếng dán bàn phím,-35000,"₫35,000",18/11/2022,Expenses,,Utility,
the coffee house,-35000,"₫35,000",19/11/2022,Expenses,,Coffee,
cà chua,-16000,"₫16,000",20/11/2022,Expenses,,AC,
xăng,-50000,"₫50,000",20/11/2022,Expenses,,DC,
tiền nước,-5000,"₫5,000",20/11/2022,Expenses,,AC,
filter gà,-32000,"₫32,000",20/11/2022,Expenses,,AC,
chuối,-8000,"₫8,000",20/11/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",20/11/2022,Expenses,,Utility,
bàn học,-300000,"₫300,000",21/11/2022,Expenses,BigM,Utility,
cơm nấm,-16000,"₫16,000",22/11/2022,Expenses,,AC,
bánh mì,-21000,"₫21,000",22/11/2022,Expenses,,AC,
xà lách,-14000,"₫14,000",22/11/2022,Expenses,,AC,
hùng tiền thùng nước,-7000,"₫7,000",22/11/2022,Expenses,,AC,
4 trái táo,-19000,"₫19,000",22/11/2022,Expenses,,AC,
cơn sườn đêm,-32000,"₫32,000",23/11/2022,Expenses,,AC,
gửi xe cyber,-5000,"₫5,000",23/11/2022,Expenses,,Study,
gói iCloud+ 50GB,-19000,"₫19,000",23/11/2022,Expenses,Monthly,Utility,
coffee TCH,-20000,"₫20,000",24/11/2022,Expenses,,Coffee,
nạp tiền điện thoại,-10000,"₫10,000",24/11/2022,Expenses,,Utility,
gói 21G,-59000,"₫59,000",25/11/2022,Expenses,,Utility,
nạp tiền điện thoại,-1000,"₫1,000",25/11/2022,Expenses,,Utility,
xăng,-50000,"₫50,000",25/11/2022,Expenses,,DC,
cafe với tường em,-35000,"₫35,000",25/11/2022,Expenses,,RL,
cơm nấm ministop,-14000,"₫14,000",26/11/2022,Expenses,,AV,
cơm gà phạm văn hai,-25000,"₫25,000",26/11/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",26/11/2022,Expenses,,Utility,
cafe với tường em,-22000,"₫22,000",26/11/2022,Expenses,,Coffee,
gửi xe cyber,-5000,"₫5,000",27/11/2022,Expenses,,Study,
cà chua,-15000,"₫15,000",27/11/2022,Expenses,,AC,
bánh mì que,-18000,"₫18,000",27/11/2022,Expenses,,AC,
trứng gà,-29000,"₫29,000",27/11/2022,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",27/11/2022,Expenses,,AC,
thịt gà 500g,-46000,"₫46,000",27/11/2022,Expenses,,AC,
gửi xe nhà sách,-5000,"₫5,000",28/11/2022,Expenses,,AC,
tiền mua đồng phục shopeefood,-450000,"₫450,000",28/11/2022,Expenses,BigM,Utility,
cơm phúc lọc thụ với luân,-25000,"₫25,000",29/11/2022,Expenses,,AC,
rút tiền dùm luân,-1100,"₫1,100",30/11/2022,Expenses,,Utility,
cơm sườn với luân,-25000,"₫25,000",30/11/2022,Expenses,,AC,
xăng,-60000,"₫60,000",30/11/2022,Expenses,,DC,
gửi xe cyber,-5000,"₫5,000",30/11/2022,Expenses,,Study,
mua đồ dùng cho phòng trọ mới,-329000,"₫329,000",01/12/2022,Expenses,BigM,Utility,
hớt tóc,-30000,"₫30,000",02/12/2022,Expenses,,Body,
xăng,-70000,"₫70,000",02/12/2022,Expenses,,DC,
cafe chỗ hớt tóc,-10000,"₫10,000",02/12/2022,Expenses,,Coffee,
cơm gà nha mân,-20000,"₫20,000",02/12/2022,Expenses,,AC,
đi net với nguyên,-18000,"₫18,000",02/12/2022,Expenses,,RL,
cơm sườn chị mai,-20000,"₫20,000",03/12/2022,Expenses,,AC,
thẻ thang máy,-50000,"₫50,000",03/12/2022,Expenses,,Home,
tiền phòng,-2100000,"₫2,100,000",03/12/2022,Expenses,Monthly,Home,
thùng nước 5 lít,-24000,"₫24,000",03/12/2022,Expenses,,Utility,
xăng,-65000,"₫65,000",03/12/2022,Expenses,,DC,
cafe dọc đường lên sg,-10000,"₫10,000",03/12/2022,Expenses,,Coffee,
hủ tiếu,-20000,"₫20,000",03/12/2022,Expenses,,AC,
giữ xe tháng 12,-120000,"₫120,000",03/12/2022,Expenses,Monthly,Home,
thẻ xe,-50000,"₫50,000",03/12/2022,Expenses,,Home,
giữ xe chung cư,-4000,"₫4,000",03/12/2022,Expenses,,Home,
bánh mì,-15000,"₫15,000",04/12/2022,Expenses,,AC,
cafe chung vs bánh mì,-10000,"₫10,000",04/12/2022,Expenses,,Coffee,
xăng,-50000,"₫50,000",04/12/2022,Expenses,,DC,
gửi xe cyber,-5000,"₫5,000",04/12/2022,Expenses,,Study,
bếp hồng ngoại,-300000,"₫300,000",04/12/2022,Expenses,BigM,Utility,
cơm gà phạm văn hai,-25000,"₫25,000",04/12/2022,Expenses,,AC,
bánh mì 2ổ,-5000,"₫5,000",04/12/2022,Expenses,,AC,
cơm sườn gần chỗ mua bếp,-25000,"₫25,000",04/12/2022,Expenses,,AC,
chuối sim,-22000,"₫22,000",04/12/2022,Expenses,,AC,
cơm sườn gần nhà,-33000,"₫33,000",05/12/2022,Expenses,,AC,
thùng nước,-13000,"₫13,000",05/12/2022,Expenses,,Utility,
vỏ thùng nước,-35000,"₫35,000",05/12/2022,Expenses,,Utility,
gửi xe bưu điện hcm,-6000,"₫6,000",05/12/2022,Expenses,,Study,
cơm trưa,-33000,"₫33,000",06/12/2022,Expenses,,AC,
nước suối 1.5l,-10000,"₫10,000",06/12/2022,Expenses,,Utility,
nồi cơm,-260000,"₫260,000",06/12/2022,Expenses,BigM,Home,
thịt gà,-30000,"₫30,000",06/12/2022,Expenses,,AC,
gạo,-77000,"₫77,000",06/12/2022,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",06/12/2022,Expenses,,AC,
vĩ nướng,-20000,"₫20,000",06/12/2022,Expenses,,Utility,
card đt 10k,-10000,"₫10,000",06/12/2022,Expenses,,Utility,
tiền điện tháng 12,-150000,"₫150,000",06/12/2022,Expenses,,Home,
xăng,-50000,"₫50,000",06/12/2022,Expenses,,DC,
phí rút tiền,-1100,"₫1,100",07/12/2022,Expenses,,Utility,
gửi xe cyber,-5000,"₫5,000",07/12/2022,Expenses,,Study,
xăng,-60000,"₫60,000",07/12/2022,Expenses,,DC,
cơm sườn bên kia cầu,-30000,"₫30,000",07/12/2022,Expenses,,AC,
phí rút tiền,-1100,"₫1,100",08/12/2022,Expenses,,Utility,
sạn gỗ,-33000,"₫33,000",08/12/2022,Expenses,,Utility,
trứng gà,-28500,"₫28,500",08/12/2022,Expenses,,AC,
fillet gà,-44000,"₫44,000",08/12/2022,Expenses,,AC,
sữa 1l,-28500,"₫28,500",08/12/2022,Expenses,,AC,
dầu gọi đầu,-16000,"₫16,000",08/12/2022,Expenses,,Utility,
dưa leo,-15000,"₫15,000",08/12/2022,Expenses,,AC,
khổ trang,-35000,"₫35,000",08/12/2022,Expenses,,Utility,
thuốc sổ lải,-20000,"₫20,000",08/12/2022,Expenses,,Body,
phí rút tiền,-1100,"₫1,100",09/12/2022,Expenses,,Utility,
xăng,-50000,"₫50,000",09/12/2022,Expenses,,DC,
cafe M coffee,-28000,"₫28,000",09/12/2022,Expenses,,Coffee,
chảo chóng dính,-41500,"₫41,500",09/12/2022,Expenses,,Utility,
gửi xe vạn hạnh mall,-5000,"₫5,000",09/12/2022,Expenses,,RL,
cơm chung với tường,-35000,"₫35,000",09/12/2022,Expenses,,AC,
đồng hồ để bàn,-96500,"₫96,500",09/12/2022,Expenses,,Utility,
chuối,-15000,"₫15,000",10/12/2022,Expenses,,AC,
card điện thoại,-10000,"₫10,000",10/12/2022,Expenses,,Utility,
bành mì,-21000,"₫21,000",10/12/2022,Expenses,,AC,
táo,-18000,"₫18,000",10/12/2022,Expenses,,AC,
cà chua,-10000,"₫10,000",10/12/2022,Expenses,,AC,
cafe HL,-29000,"₫29,000",10/12/2022,Expenses,,RL,
xăng,-40000,"₫40,000",11/12/2022,Expenses,,DC,
card đt,-10000,"₫10,000",11/12/2022,Expenses,,Utility,
cơm sườn,-30000,"₫30,000",12/12/2022,Expenses,,AC,
thùng nước,-15000,"₫15,000",12/12/2022,Expenses,,Utility,
cafe dọc đường,-12000,"₫12,000",13/12/2022,Expenses,,Coffee,
sữa chua,-21000,"₫21,000",13/12/2022,Expenses,,AC,
táo,-14030,"₫14,030",13/12/2022,Expenses,,AC,
xăng,-30000,"₫30,000",13/12/2022,Expenses,,DC,
xà lách,-13410,"₫13,410",13/12/2022,Expenses,,AC,
sữa tươi,-29700,"₫29,700",13/12/2022,Expenses,,AC,
chuối,-10000,"₫10,000",13/12/2022,Expenses,,AC,
bánh mì kẹp,-21000,"₫21,000",13/12/2022,Expenses,,AC,
